Type,ServedBy,Ip,Host,DRAC_IP
Video Server,GAIV,10.8.28.29,vls1.GAIV.gwn,10.8.28.49
Video Server,EOV,10.8.64.29,vls1.EOV.gwn,10.8.64.49
Test Application Server,DACH,10.13.253.20,apptest.DACH.gwn,10.13.253.41
RAS,KPNC-E,172.18.120.100,ras1.KPNC-E.gwn,172.19.97.90
Video Server,FHS-E,10.6.4.29,vls1.FOR.gwn,10.6.4.49
Video Server,USC,10.5.96.27,vls3.USC.gwn,10.5.96.47
Video Server,PSHC,10.7.220.28,vls2.PSHC.gwn,10.7.220.48
Video Server,KPNC-E,10.182.76.132,vls1.KSLE.gwn,10.182.76.196
Video Server,KPNC-E,10.182.76.133,vls2.KSLE.gwn,10.182.76.197
Video Server,HFB,10.5.112.29,vls1.HFB.gwn,10.5.112.49
Video Server,NAC,10.7.16.29,vls1.NAC.gwn,10.7.16.49
Video Server,LEG-E,10.7.132.27,vls3.LEM.gwn,10.7.132.47
Video Server,LAV,10.8.76.28,vls2.LAV.gwn,10.8.76.48
Application Server,SFM,10.118.25.10,appserver.SFM.gwn,10.118.25.7
Video Server,USC,10.5.96.28,vls2.USC.gwn,10.5.96.48
Video Server,TAMV,10.8.32.29,vls1.TAMV.gwn,10.8.32.49
Application Server,TGEN,10.224.0.10,appserver.TGEN.gwn,10.224.0.40
RAS,UMI,10.7.64.15,ras2.UMI.gwn,10.7.64.45
Video Server,FHS-E,10.6.16.28,vls2.FEO.gwn,10.6.16.48
Application Server,SOM,10.7.136.10,appserver.SOM.gwn,10.7.136.40
Video Server,BAY-E,10.9.44.29,vls1.MPN.gwn,10.9.44.49
Test Application Server,CAR-E,10.9.0.20,apptest.CAR-E.gwn,10.9.0.41
Video Server,SELZ-E,10.9.168.28,vls2.SEFL.gwn,10.9.168.48
Test Application Server,SOIN,10.7.128.20,apptest.SOIN.gwn,10.7.128.41
Application Server,CTXV,10.8.140.10,appserver.CTXV.gwn,10.8.140.40
RAS,SMMC,10.9.230.15,ras2.SMMC.gwn,10.9.230.45
RAS,SELZ-E,10.9.163.15,ras2.SELZ-E.gwn,10.9.163.45
Video Server,PHOV,10.8.108.28,vls2.PHOV.gwn,10.8.108.48
Video Server,LEG-E,10.7.132.28,vls2.LEM.gwn,10.7.132.48
Video Server,GAIV,10.8.28.28,vls2.GAIV.gwn,10.8.28.48
RAS,WELL-E,10.9.80.15,ras2.WELL-E.gwn,10.9.80.45
Video Server,DUP,10.5.12.29,vls1.DUP.gwn,10.5.12.49
Video Server,TGS,10.7.148.28,vls2.TGS.gwn,10.7.148.48
Application Server,PIJV,10.8.52.10,appserver.PIJV.gwn,10.8.52.40
Application Server,AHA,10.5.220.10,appserver.AHA.gwn,10.5.220.40
Video Server,MARV,10.8.68.27,vls3.MARV.gwn,10.8.68.47
Video Server,LEG-E,10.181.240.28,vls2.LESC.gwn,10.181.240.48
Application Server,TAMV,10.8.32.10,appserver.TAMV.gwn,10.8.32.40
RAS,KERV,10.8.144.14,ras1.KERV.gwn,10.8.144.44
RAS,CAR-E,10.9.84.14,ras1.CAR-E.gwn,10.9.84.44
Video Server,BAY-E,10.9.68.25,vls5.BJM.gwn,10.9.68.45
Video Server,SELZ-E,10.9.168.29,vls1.SEFL.gwn,10.9.168.49
Video Server,OLO,10.7.4.28,vls2.OLO.gwn,10.7.4.48
Video Server,BAY-E,10.9.40.28,vls2.MPL.gwn,10.9.40.49
Video Server,CAR-E,10.9.0.23,vls7.CRLE.gwn,10.9.0.53
Test Application Server,OCM,10.7.238.20,apptest.OCM.gwn,10.7.238.41
RAS,LEG-E,10.12.240.15,ras2.LEG-E.gwn,10.12.240.45
Video Server,FHS-E,10.6.8.29,vls1.FCE.gwn,10.6.8.49
Video Server,BPV,10.8.36.28,vls2.BPV.gwn,10.8.36.48
Application Server,WILV,10.8.96.10,appserver.WILV.gwn,10.8.96.40
Application Server,MDV,10.8.92.10,appserver.MDV.gwn,10.8.92.40
Video Server,CLA,10.108.0.28,vls2.CLA.gwn,10.108.0.48
Video Server,PIUV,10.8.48.29,vls1.PIUV.gwn,10.8.48.49
RAS,KPSCTEST,172.20.58.175,ras1.KPSCTEST.gwn,172.20.82.135
Video Server,NOR,10.7.184.29,vls1.NOR.gwn,10.7.184.49
Video Server,TAMV,10.8.32.28,vls2.TAMV.gwn,10.8.32.48
Video Server,SVI,10.9.221.29,vls1.SVI.gwn,10.9.221.49
Application Server,SMA,10.5.104.10,appserver.SMA.gwn,10.5.104.40
Video Server,KPNC-E,10.183.160.135,vls4.KOAK.gwn,10.183.160.199
Video Server,CAR-E,10.9.184.28,vls2.CBR.gwn,10.9.184.48
Video Server,SPM,10.7.20.29,vls1.SPM.gwn,10.7.20.49
Video Server,OLA,10.7.0.28,vls2.OLA.gwn,10.7.0.48
Video Server,CTXV,10.8.140.27,vls3.CTXV.gwn,10.8.140.47
RAS,OCM,10.7.238.14,ras1.OCM.gwn,10.7.238.44
RAS,SHH-E,10.9.120.14,ras1.SHH-E.gwn,10.9.120.44
Application Server,STJ,10.5.76.10,appserver.STJ.gwn,10.5.76.40
RAS,CAR-E,10.9.84.15,ras2.CAR-E.gwn,10.9.84.45
Application Server,FARV,10.8.80.10,appserver.FARV.gwn,10.8.80.40
Video Server,FOC,10.6.28.29,vls1.FOC.gwn,10.6.28.49
Video Server,IFO,10.5.60.28,vls2.IFO.gwn,10.5.60.48
